short_name,player_positions,overall,potential,wage_eur,age,club_contract_valid_until,nationality_name,preferred_foot,weak_foot,skill_moves,release_clause_eur,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,value_eur
J. Mitchell,GK,63,67,2000,26,2023,England,Right,2,1,958000,50,50,50,50,50,50,15,10,14,32,13,12,12,18,30,21,59,40,60,60,62,47,64,30,66,10,32,18,13,61,29,51,8,15,16,64,61,63,61,65,51,525000
C. Stanko,"CDM, CM",63,64,2000,27,2021,United States,Right,3,2,763000,35,47,56,61,60,70,44,44,54,63,37,59,45,38,62,63,35,35,66,58,64,59,77,60,76,46,67,61,48,57,46,49,62,61,59,11,7,13,12,10,0,500000
S. Tanabe,"LM, CDM, CM",63,63,1000,31,2022,Japan,Right,4,2,500000,75,54,61,61,53,59,60,52,43,63,52,60,54,58,64,60,78,72,69,57,71,53,47,70,59,58,50,56,61,59,61,60,57,52,52,11,11,12,8,12,0,400000
G. Zelalem,"CM, CAM, CDM",63,69,2000,24,2021,United States,Right,3,3,1300000,51,50,66,66,44,56,51,49,49,73,55,64,65,54,71,70,60,43,65,60,70,51,53,54,64,45,37,38,57,68,56,63,41,48,49,10,14,12,13,10,0,750000
C. Long,"ST, RW",63,66,3000,26,2023,England,Right,3,2,1100000,77,63,48,63,27,64,42,64,60,55,47,62,48,27,41,64,76,77,68,60,62,66,70,68,61,61,63,30,63,54,62,62,22,22,21,7,7,7,15,13,0,625000
G. Kastaneer,"LW, RW, ST",63,66,2000,25,2023,Curacao,Right,3,3,953000,70,65,55,65,31,68,60,63,62,55,59,67,54,52,44,66,68,72,62,53,70,73,64,36,80,66,78,25,58,59,55,58,28,30,22,12,14,9,7,12,0,625000
O. Threlkeld,"RB, CM, CDM",63,63,4000,27,2023,England,Right,4,2,831000,66,47,57,59,60,71,54,46,58,61,41,55,44,35,59,60,65,67,69,59,64,56,78,72,73,41,63,57,56,58,48,58,60,63,60,15,7,15,12,12,0,475000
P. Matricardi,CB,63,66,2000,27,2026,Argentina,Right,3,2,784000,51,32,38,39,62,76,29,26,63,48,36,32,35,30,39,46,50,51,34,60,38,44,44,62,87,28,72,58,24,31,48,44,61,64,62,15,15,8,13,7,0,550000
A. Noppert,GK,63,67,2000,27,2022,Netherlands,Right,3,1,763000,50,50,50,50,50,50,14,19,19,20,19,19,41,14,39,20,45,50,40,60,60,47,66,42,66,20,21,16,15,16,19,54,10,15,13,65,61,62,64,61,47,500000
W. Aimson,CB,63,65,2000,27,2023,England,Right,2,2,913000,55,31,37,39,63,71,25,25,62,50,26,29,28,34,40,39,54,55,57,58,59,59,91,65,75,18,62,61,22,29,36,57,64,65,62,15,8,7,9,13,0,500000
S. Long,"CB, RWB",63,65,2000,26,2022,Republic of Ireland,Right,3,2,958000,68,39,54,62,61,73,61,34,58,57,27,60,54,34,51,62,70,67,71,59,72,49,90,80,70,40,68,60,52,50,37,60,61,62,61,14,8,11,6,14,0,525000
A. Rambal,"CB, RB",63,65,500,28,2021,Colombia,Right,3,2,1100000,57,38,49,56,63,66,45,31,60,55,31,54,39,38,54,59,60,55,61,50,55,53,82,57,72,40,59,60,46,46,38,45,63,67,64,10,10,9,10,8,0,475000
Gabriel,"CDM, RB",63,63,2000,33,2022,Brazil,Right,3,3,324000,64,41,58,61,62,70,59,31,56,64,43,60,54,37,56,59,63,64,65,58,69,56,71,64,72,41,70,61,52,55,56,60,64,63,61,10,8,12,13,12,0,240000
R. Muñoz,GK,63,63,500,39,2021,Uruguay,Left,2,1,108000,50,50,50,50,50,50,14,17,16,23,20,18,19,17,19,22,46,45,30,55,57,47,50,32,51,12,19,24,15,43,23,29,15,15,16,61,63,62,64,63,46,50000
A. Gómez,"CAM, LM",63,63,500,28,2021,Peru,Left,3,3,1000000,87,63,58,67,58,73,57,60,56,57,39,70,61,69,55,63,83,91,73,49,80,74,75,80,76,67,54,53,61,57,58,65,57,63,60,7,6,11,7,8,0,475000
M. Urbańczyk,"CDM, CM",63,65,950,26,2022,Poland,Right,2,2,748000,62,45,55,62,60,65,40,38,52,65,39,57,46,50,62,62,65,60,81,58,77,55,65,74,59,52,68,60,59,52,32,55,58,65,61,13,11,9,8,13,0,525000
P. Brough,LWB,63,66,2000,25,2023,England,Left,2,2,1000000,67,46,53,57,60,76,55,46,57,55,36,54,46,42,51,57,66,67,64,57,66,52,34,84,82,43,62,58,53,52,46,55,61,61,60,15,10,7,15,11,0,575000
M. de Iriondo,"CDM, CM",63,64,2000,28,2023,Argentina,Right,3,2,867000,66,54,56,59,61,74,49,41,60,64,49,54,51,36,57,59,69,63,73,63,74,74,71,80,76,67,64,60,57,52,41,61,60,62,62,15,15,11,6,7,0,475000
P. Becker,"CM, RM, CAM",63,63,3000,28,2022,Argentina,Right,2,3,689000,76,57,67,67,48,56,62,49,50,68,34,65,68,69,68,68,78,74,74,64,76,69,78,34,64,67,59,56,63,68,55,55,45,48,39,10,7,13,10,7,0,475000
O. Palmer,ST,63,63,2000,29,2022,England,Right,3,2,831000,62,62,45,57,25,78,38,64,64,52,46,55,42,27,33,64,53,69,34,56,67,64,39,64,91,57,75,24,63,54,62,60,13,25,28,14,12,14,8,14,0,475000
O. Hadžikić,GK,63,67,2000,25,2023,Austria,Right,3,1,801000,50,50,50,50,50,50,15,19,19,24,12,17,19,12,22,18,41,41,38,61,56,44,60,19,61,18,19,21,18,35,24,27,28,15,12,62,60,59,63,63,41,525000
D. Węglarz,GK,63,67,1000,25,2023,Poland,Right,2,1,748000,50,50,50,50,50,50,14,17,17,19,19,17,13,13,20,20,30,35,32,58,32,46,31,22,45,19,22,13,17,42,21,22,13,19,18,62,63,61,60,65,32,525000
Sebas Moyano,"RM, LM",63,69,2000,24,2022,Spain,Right,3,3,1300000,68,54,59,67,35,39,56,62,37,61,63,70,58,52,57,63,69,68,72,55,78,43,53,47,30,44,46,26,58,60,49,52,37,35,40,13,11,7,8,13,0,750000
R. Espejord,ST,63,67,2000,25,2021,Norway,Right,4,2,0,62,64,49,58,29,66,42,66,62,60,61,55,53,35,41,63,60,63,61,56,49,65,74,55,82,60,36,17,66,45,55,62,45,14,13,6,15,15,12,8,0,675000
A. Ceesay,"ST, LM",63,64,4000,27,2022,Gambia,Left,2,2,839000,88,61,54,60,33,64,49,62,55,58,55,64,55,42,50,49,88,88,71,65,69,66,72,69,63,54,59,17,62,60,59,55,40,30,27,7,8,8,14,13,0,550000
I. Łasicki,CB,63,65,2000,26,2022,Poland,Right,2,2,748000,47,34,48,48,62,71,42,32,60,59,37,41,38,36,46,52,52,43,57,55,61,31,83,71,72,34,65,63,46,42,41,53,62,62,63,13,12,11,10,10,0,525000
A. Mandrea,GK,63,69,3000,24,2022,France,Right,2,1,1400000,50,50,50,50,50,50,13,17,15,28,16,16,14,20,19,18,41,49,33,58,55,43,51,28,61,14,23,19,15,15,23,51,12,19,21,67,56,57,59,70,44,625000
B. Gladwin,CM,63,63,4000,29,2022,England,Right,4,3,831000,67,57,64,64,56,73,63,52,55,66,50,65,52,55,66,64,68,66,61,59,67,67,68,69,79,60,65,56,59,63,60,65,57,57,55,15,8,11,7,8,0,475000
K. Al Kaabi,"RM, ST, LM",63,63,4000,29,2022,Saudi Arabia,Right,3,3,784000,83,57,55,64,21,51,59,57,51,57,37,62,52,46,49,63,86,80,81,56,77,71,74,73,47,47,30,16,56,56,59,58,17,19,17,8,8,14,11,7,0,475000
M. Al Saiari,ST,63,63,4000,28,2023,Saudi Arabia,Right,3,2,825000,69,61,53,60,36,74,44,64,66,61,55,61,54,67,56,58,69,69,65,59,58,62,81,64,73,59,86,36,61,44,48,57,33,28,35,7,7,10,10,7,0,500000
S. Križman,"RW, ST, LM",63,63,3000,31,2023,Croatia,Right,2,2,580000,71,61,60,61,30,61,63,61,58,65,55,62,55,52,54,60,72,70,60,61,63,65,53,61,65,57,53,25,63,56,58,59,36,21,21,15,13,14,15,9,0,400000
S. Mensiro,"RB, CB, CM",63,63,1000,32,2023,Ghana,Right,2,2,406000,74,38,53,57,56,76,58,31,61,56,35,53,49,32,50,55,74,74,75,55,78,52,88,76,70,40,87,61,43,51,34,55,53,53,62,11,12,6,13,13,0,325000
Lee Chan Dong,"CM, RM",63,63,1000,28,2022,Korea Republic,Right,3,2,594000,56,58,60,60,65,77,46,53,65,64,53,56,58,60,62,62,60,53,69,63,64,70,32,78,79,60,83,66,57,65,53,55,66,63,65,9,10,8,13,12,0,475000
D. Gardner,"LM, CM",63,63,3000,31,2022,England,Right,4,3,700000,65,61,62,64,52,64,62,60,50,64,58,62,61,55,59,63,66,64,71,61,69,64,69,67,67,62,53,50,60,61,62,63,52,54,51,4,3,11,2,4,0,400000
G. O'Neill,"CM, CDM",63,65,950,26,2021,Republic of Ireland,Right,3,2,975000,57,56,62,61,61,71,61,52,57,63,51,58,59,58,64,63,55,59,62,61,64,62,60,79,69,58,70,62,57,63,63,68,62,61,60,13,12,13,14,11,0,600000
Y. Barnawi,RB,63,63,3000,27,2024,Saudi Arabia,Right,3,2,784000,71,38,52,59,59,72,53,29,60,56,24,57,50,47,50,59,70,71,68,59,64,56,78,77,72,41,64,59,57,47,36,51,56,60,62,15,8,10,8,6,0,475000
Y. Pambou,"CM, CDM",63,67,2000,25,2023,Congo,Left,3,3,962000,71,48,60,66,60,61,57,43,52,65,35,61,41,35,64,64,74,68,86,65,89,58,61,68,57,49,62,64,57,64,47,55,61,60,54,13,9,13,9,14,0,675000
Liao Lisheng,"CM, CDM",63,63,5000,28,2021,China PR,Right,3,3,760000,67,59,62,63,63,65,60,61,62,63,54,61,62,60,61,62,68,66,75,62,69,62,80,73,60,58,65,61,62,63,43,61,62,66,62,7,10,15,11,15,0,475000
Shin Chang Moo,"LM, CM",63,63,2000,28,2022,Korea Republic,Left,3,3,594000,67,58,61,65,44,66,48,55,41,65,50,62,58,62,61,65,68,66,72,57,83,58,59,76,61,65,66,59,64,67,53,61,45,36,35,6,10,15,11,15,0,475000
Koo Dae Young,"RWB, RM",63,63,1000,29,2021,Korea Republic,Right,4,3,531000,72,38,51,63,58,66,58,37,45,53,31,60,37,41,51,62,71,72,79,60,72,36,64,70,67,40,60,57,57,46,38,60,60,60,61,7,9,8,8,6,0,425000
Han Rongze,GK,63,64,3000,28,2021,China PR,Left,3,1,609000,50,50,50,50,50,50,17,12,14,27,15,19,14,17,39,18,39,43,42,57,56,48,61,33,43,17,29,19,18,58,19,26,24,17,11,63,61,64,64,64,41,375000
J. Lindseth,"CM, RM",63,67,1000,25,2022,Norway,Right,3,3,894000,71,56,60,68,58,67,57,56,49,64,51,69,58,45,59,68,68,74,72,60,68,58,58,80,62,56,64,60,58,61,52,59,59,61,55,12,7,13,10,10,0,675000
Aidi Fulangxisi,"CB, RB",63,63,3000,30,2021,China PR,Right,3,2,620000,70,35,53,58,63,72,55,37,58,60,20,55,53,27,51,58,71,70,70,57,64,37,66,86,68,26,65,66,51,47,35,54,63,64,62,9,9,16,10,7,0,400000
G. Mutombo,CB,63,67,4000,25,2022,France,Left,2,2,1200000,36,26,45,41,63,73,31,19,63,60,29,35,30,38,49,48,38,34,31,55,52,37,49,62,82,28,70,60,21,33,37,48,61,67,63,11,13,10,11,13,0,600000
Kim Young Bin,"CB, LB",63,64,2000,29,2022,Korea Republic,Right,3,2,596000,66,26,49,45,61,73,52,18,68,60,24,30,23,25,42,52,67,65,64,63,61,35,73,70,79,25,61,63,55,44,38,63,60,60,60,6,12,7,7,10,0,450000
T. James,"RB, LB",63,68,3000,25,2022,Wales,Right,3,2,1200000,72,55,58,60,59,69,61,52,56,58,40,60,53,65,54,58,71,73,63,57,71,64,75,72,69,58,65,58,57,55,50,58,58,60,60,16,11,14,7,9,0,650000
Lee Tae Hee,GK,63,68,950,26,2023,Korea Republic,Right,3,1,729000,50,50,50,50,50,50,17,16,12,29,18,12,35,13,21,19,42,46,33,59,50,44,53,31,67,19,25,22,17,35,30,59,10,18,12,62,61,59,62,64,44,550000
J. Beesley,ST,63,67,2000,24,2023,England,Right,2,2,1300000,71,61,49,61,44,68,44,63,62,56,55,61,42,38,41,64,67,74,58,59,53,64,70,63,75,58,56,40,63,50,54,51,42,44,37,9,8,20,8,9,0,700000
T. Davies,CB,63,63,2000,29,2022,England,Right,2,2,700000,58,27,41,46,62,75,32,21,63,51,30,39,28,28,46,48,52,62,59,57,61,43,72,72,75,24,78,61,31,35,28,44,62,62,62,16,14,7,12,10,0,400000
E. Ersu,GK,63,65,3000,27,2022,Turkey,Right,2,1,934000,50,50,50,50,50,50,16,13,19,30,20,14,20,17,26,17,39,34,23,57,23,45,58,26,68,13,22,20,16,41,11,48,14,19,14,63,61,60,63,66,37,450000
N. Anderton,"LB, CB",63,64,3000,25,2023,England,Left,2,2,958000,66,44,54,57,59,71,61,42,59,55,30,56,44,38,53,58,67,66,58,57,54,50,76,73,72,44,64,58,55,52,42,51,59,60,58,15,16,10,12,6,0,525000
E. Haugan,CB,63,67,950,23,2022,Norway,Right,2,2,828000,59,27,46,56,64,65,24,22,64,61,25,51,23,25,52,57,59,59,63,58,72,37,73,65,68,26,55,63,23,47,42,63,65,65,63,13,12,7,9,15,0,625000
P. Mystkowski,"CAM, LM",63,66,2000,23,2023,Poland,Left,2,3,926000,73,59,58,65,29,57,57,61,51,62,49,63,51,47,58,63,75,71,83,61,81,58,57,69,57,58,41,21,61,58,54,56,36,23,22,8,9,13,15,13,0,650000
N. Teichgräber,LWB,63,68,500,25,2022,Germany,Left,2,2,991000,73,41,55,63,57,63,63,40,51,57,33,63,60,63,48,63,75,72,73,51,74,45,84,75,60,39,49,56,48,44,47,44,56,60,57,10,7,9,14,16,0,650000
B. Spittal,"RM, CM, CAM",63,66,2000,25,2022,Scotland,Right,3,3,1100000,80,57,57,63,46,56,62,55,42,58,48,60,45,64,54,62,76,83,81,53,73,61,36,69,61,59,30,34,57,55,57,59,48,51,50,16,10,7,11,8,0,625000
S. Dooley,CM,63,63,2000,29,2022,Northern Ireland,Right,3,3,831000,70,59,61,66,56,52,63,60,43,62,52,68,56,50,62,64,72,68,67,62,62,55,48,68,51,62,36,59,63,62,57,62,55,59,53,15,12,10,11,8,0,475000
A. Singh,GK,63,66,700,28,2026,India,Right,1,1,641000,50,50,50,50,50,50,18,18,15,30,17,14,20,17,22,27,44,43,30,64,53,40,54,30,67,20,21,19,12,36,30,57,16,17,17,63,58,53,64,62,44,450000
A. Peña,"RM, RB",63,63,500,32,2021,Uruguay,Right,3,2,806000,66,51,61,63,56,64,63,47,54,64,48,63,44,47,63,64,64,68,69,58,68,59,74,86,44,53,85,59,49,59,54,43,52,59,56,14,13,10,11,7,0,375000
T. Pett,CM,63,63,3000,29,2023,England,Right,4,3,831000,65,56,62,68,54,53,60,55,37,64,51,65,59,56,63,64,68,63,90,63,85,57,77,73,47,59,35,59,58,63,56,65,51,59,52,12,11,16,15,9,0,475000
Li Yunqiu,RB,63,63,3000,30,2022,China PR,Right,3,2,659000,73,47,54,59,59,64,54,52,52,56,25,57,49,32,57,56,72,74,81,53,62,50,52,71,58,42,73,60,55,54,33,53,56,61,62,11,12,11,11,7,0,425000
H. Konaté,GK,63,64,1000,26,2022,Côte d'Ivoire,Right,2,1,776000,50,50,50,50,50,50,16,15,16,33,13,13,16,18,18,29,54,52,55,59,61,47,70,22,57,18,20,11,10,38,26,49,11,18,15,63,61,62,58,66,53,425000
T. Mokwa,"LB, RB, RM",63,63,2000,28,2023,Poland,Right,3,2,574000,68,46,55,61,58,63,62,47,50,58,43,61,33,33,57,62,70,67,64,61,62,41,66,67,66,47,50,57,58,52,37,54,58,61,60,7,14,10,14,10,0,425000
F. Børsting,"RM, RWB",63,64,3000,26,2022,Denmark,Right,4,2,762000,70,59,56,61,62,78,57,64,51,60,51,60,54,50,53,61,69,71,66,67,64,60,65,81,74,53,87,64,56,54,53,52,65,61,58,9,11,6,15,7,0,575000
O. Zawada,ST,63,67,2000,25,2021,Poland,Right,3,2,894000,74,59,51,58,26,71,41,58,65,57,59,57,53,39,49,62,73,75,57,59,50,67,54,66,81,54,58,22,61,56,61,49,20,23,22,10,7,7,15,6,0,675000
M. Reinthaler,CB,63,66,700,26,2023,Italy,Right,3,2,839000,65,45,55,56,62,72,48,38,65,61,44,54,50,47,58,58,66,65,57,62,51,56,44,66,81,48,66,52,42,52,52,62,65,64,61,8,7,9,10,16,0,550000
N. Bürgy,CB,63,66,3000,25,2023,Switzerland,Right,3,2,906000,48,29,43,47,64,65,28,24,66,60,31,38,26,28,53,56,50,46,49,50,61,39,80,56,70,24,60,58,24,29,54,57,60,69,68,10,7,9,15,11,0,575000
K. Burger,"CB, LB",63,65,1000,26,2022,Germany,Left,3,2,801000,59,28,52,54,63,71,57,20,64,59,27,53,23,55,55,57,56,62,48,59,60,46,73,72,74,24,60,60,32,39,45,53,64,63,63,12,14,12,11,10,0,525000
J. Sellars,"LM, RM, CM",63,65,1000,25,2021,England,Left,3,3,795000,78,59,58,64,35,58,56,58,44,62,52,64,51,54,58,60,83,74,85,47,74,66,75,70,58,58,39,25,56,57,62,57,45,31,32,11,14,13,14,11,0,600000
M. Eberwein,"CAM, ST",63,66,1000,25,2022,Germany,Right,4,3,953000,72,61,60,63,34,68,52,61,63,64,55,66,59,63,54,65,68,76,60,59,44,60,58,75,73,62,47,20,57,65,61,54,38,32,23,7,13,7,12,14,0,625000
Li Shenglong,"ST, RW",63,63,6000,28,2025,China PR,Right,3,3,775000,77,60,55,60,44,69,60,59,64,58,56,59,63,39,49,58,81,74,71,69,60,63,66,63,69,57,76,39,62,52,64,58,43,41,43,14,13,12,13,6,0,500000
T. Loska,GK,63,68,1000,25,2022,Poland,Right,2,1,784000,50,50,50,50,50,50,19,19,16,28,20,17,11,21,28,24,36,38,35,57,48,44,70,23,62,17,17,22,11,38,27,52,21,16,13,64,60,59,61,68,37,550000
L. Rose,"CDM, CB",63,72,900,24,2022,Australia,Right,4,2,1500000,75,47,56,61,56,77,52,41,37,60,42,56,41,32,59,59,74,75,74,62,87,56,77,86,74,53,75,62,55,60,42,63,59,56,52,12,9,7,6,14,0,1000000
J. Günther-Schmidt,"CAM, ST",63,64,1000,26,2022,Germany,Right,3,3,877000,69,63,59,65,29,69,58,63,60,63,57,64,60,53,43,66,68,70,70,63,68,70,72,61,76,59,60,20,61,64,60,60,30,24,23,8,8,11,8,8,0,575000
D. Mitov,GK,63,68,1000,24,2023,Bulgaria,Right,3,1,1000000,50,50,50,50,50,50,14,12,17,29,12,15,22,19,32,25,61,60,55,56,55,46,63,35,58,18,27,23,20,30,33,42,16,13,16,64,61,61,62,63,61,575000
E. Binaku,LB,63,66,1000,25,2021,Albania,Left,3,3,762000,81,41,52,65,57,64,53,39,45,59,39,65,45,32,48,64,73,87,75,54,59,49,72,74,66,39,44,55,44,47,34,61,59,60,58,12,7,14,9,11,0,575000
H. Charsley,"CM, RW",63,69,4000,24,2022,Republic of Ireland,Right,3,3,1500000,67,58,62,66,56,65,58,57,55,65,49,63,63,51,63,63,68,66,84,58,83,61,54,73,62,59,63,57,60,64,56,62,54,58,53,10,7,7,11,9,0,750000
L. Page,LB,63,68,2000,25,2023,England,Left,3,2,1200000,74,39,54,61,61,54,62,38,57,57,35,62,36,35,52,58,73,75,71,56,68,42,58,54,52,35,60,61,58,51,42,53,62,62,62,11,15,9,7,10,0,650000
L. Sutton,"CDM, CM",63,68,3000,24,2022,England,Right,2,2,1200000,77,45,57,63,59,70,52,42,53,62,42,63,42,44,60,61,76,78,68,59,71,49,73,78,63,46,75,58,57,59,48,58,59,61,59,10,7,11,9,8,0,675000
C. Colkett,"CM, CAM",63,65,1000,24,2022,England,Left,3,3,828000,55,52,68,64,56,58,68,47,49,67,37,61,70,66,70,63,64,47,73,58,79,65,67,69,57,53,44,54,54,69,58,63,53,61,62,8,7,8,14,10,0,625000
R. Poole,RB,63,70,2000,23,2024,Wales,Right,3,2,1800000,67,31,56,58,61,71,54,29,60,64,25,55,46,30,63,60,71,64,63,55,67,32,91,71,71,32,65,57,45,47,39,57,59,64,62,16,15,13,7,12,0,925000
A. Al Ammar,LB,63,64,4000,27,2024,Saudi Arabia,Left,3,2,863000,73,47,60,64,55,63,64,39,51,63,42,61,53,43,60,64,72,74,70,64,78,61,66,76,64,49,45,51,64,57,43,56,53,60,54,16,12,10,16,15,0,500000
R. Smith,"CM, LM",63,68,2000,24,2022,Austria,Right,3,2,1100000,65,58,63,63,58,62,62,58,50,66,49,60,53,55,63,64,65,65,68,58,79,58,56,67,60,61,60,63,58,63,47,57,58,60,53,16,15,7,11,8,0,725000
F. Lesniak,"CDM, CM",63,66,1000,25,2022,Slovakia,Left,3,2,819000,52,52,58,60,60,69,56,47,53,63,44,56,56,42,57,62,52,52,62,61,72,62,60,88,65,59,56,60,52,56,43,62,61,62,59,8,11,8,8,12,0,575000
L. Andrenacci,GK,63,63,3000,26,2026,Italy,Right,3,1,675000,50,50,50,50,50,50,14,13,12,25,20,17,17,18,19,22,50,49,55,53,58,44,55,28,60,15,18,15,7,34,20,43,19,16,16,62,65,59,63,63,50,375000
Samu Casado,GK,63,70,1000,24,2022,Spain,Right,3,1,1500000,50,50,50,50,50,50,22,14,23,28,19,19,24,14,38,18,44,45,36,61,55,44,53,45,65,20,16,21,13,18,25,28,28,18,17,63,62,59,57,69,44,825000
L. Garnier,"RB, CB",63,63,2000,38,2021,Argentina,Right,2,2,160000,63,40,51,61,60,67,48,36,48,57,36,58,40,43,55,60,59,66,65,74,74,45,70,69,63,40,73,63,40,43,53,63,59,62,61,6,8,13,8,16,0,110000
D. Harvie,LWB,63,69,2000,22,2022,Scotland,Left,3,2,1400000,74,43,54,59,58,63,57,40,49,58,34,58,48,42,52,57,74,74,72,55,70,49,78,74,55,43,64,58,54,52,45,54,59,60,60,8,10,7,12,8,0,725000
L. Desmond,"CB, CDM",63,67,800,26,2021,Republic of Ireland,Left,3,2,975000,52,44,56,58,62,70,54,37,60,62,35,60,45,30,57,57,54,51,56,58,51,56,72,74,70,46,64,61,50,55,52,63,62,64,62,13,6,15,6,13,0,600000
B. Karamoko,CB,63,68,1000,26,2021,Côte d'Ivoire,Right,3,2,828000,39,29,39,40,63,73,35,22,66,49,33,35,29,35,37,43,42,36,43,53,31,47,77,54,85,24,65,57,29,29,39,53,62,66,62,11,10,8,7,11,0,625000
L. Armstrong,ST,63,66,3000,24,2023,England,Right,3,2,1200000,72,61,43,61,25,69,30,63,61,56,56,59,43,32,32,61,70,74,67,60,68,63,72,67,78,58,50,19,62,46,60,55,21,23,18,11,13,16,14,13,0,675000
D. Hümmet,ST,63,68,3000,24,2023,Turkey,Right,3,3,1500000,60,64,52,61,28,71,40,68,56,62,55,59,42,42,50,64,60,60,60,60,64,67,67,70,79,57,53,23,62,55,64,57,28,26,20,7,15,15,15,8,0,725000
D. Dianessy,"CAM, LM, RM",63,68,1000,25,2026,France,Left,4,3,1300000,71,62,54,66,28,46,43,62,55,59,59,66,58,35,47,65,69,73,75,55,64,61,69,33,55,65,32,20,61,63,62,62,34,23,16,14,9,13,10,7,0,700000
P. Kpozo,"LWB, LB",63,67,950,23,2021,Ghana,Left,2,2,861000,81,34,56,64,52,69,61,30,41,57,35,63,54,45,51,61,80,81,80,55,76,41,79,72,74,32,52,54,45,56,37,53,50,56,57,8,12,14,13,14,0,650000
Kim Sung Ju,"LM, LB",63,63,2000,30,2021,Korea Republic,Left,3,3,594000,58,60,63,62,57,61,63,57,48,66,44,63,65,40,64,62,55,61,64,62,61,68,56,63,68,65,44,59,68,62,44,59,49,65,62,7,10,14,10,8,0,475000
O. Finney,CM,63,71,2000,23,2024,England,Left,3,3,2100000,73,60,61,66,52,49,52,61,41,65,42,64,53,50,63,63,76,71,86,59,80,63,37,71,45,60,36,53,62,64,50,61,52,55,48,8,9,10,11,13,0,1100000
G. Lapslie,"CM, CAM",63,69,4000,23,2023,England,Right,3,2,1500000,66,58,60,64,56,62,55,58,60,66,50,62,47,34,63,64,68,64,66,61,78,62,62,73,55,60,65,59,60,62,44,60,53,58,53,11,14,9,11,15,0,750000
Bae Jae Woo,"RB, RM",63,63,2000,28,2021,Korea Republic,Right,3,2,553000,77,28,49,59,59,67,61,31,42,53,26,59,28,31,43,55,78,76,63,57,81,23,63,61,76,21,54,59,59,44,23,51,58,64,64,7,9,15,15,10,0,425000
C. Rosel,"RM, LM",63,64,2000,25,2022,Mexico,Right,3,2,1000000,80,48,59,64,55,61,47,41,60,66,39,63,54,45,57,61,79,80,83,60,86,56,54,66,56,54,67,61,61,63,47,44,50,56,52,11,8,8,7,6,0,575000
S. McWilliams,"CDM, CM",63,68,3000,22,2022,England,Right,3,2,1200000,69,52,58,62,59,65,48,51,43,64,40,60,46,38,62,62,67,71,67,59,69,57,51,72,61,55,71,62,57,60,44,59,59,61,59,6,14,16,13,12,0,675000
Pedro López,CB,63,70,2000,24,2022,Spain,Right,3,2,1600000,61,31,46,46,63,67,36,23,59,61,32,35,29,32,45,54,53,68,52,58,66,47,75,71,66,28,60,62,30,37,46,58,60,66,64,8,7,8,13,15,0,900000
F. Kelleher,CB,63,66,4000,25,2023,Republic of Ireland,Right,3,2,1000000,55,31,42,46,61,77,31,28,63,53,29,42,30,30,47,48,57,53,42,58,48,43,80,79,80,28,66,60,30,35,34,60,61,62,61,10,14,11,7,8,0,575000
F. Krogstad,CM,63,66,1000,26,2022,Norway,Right,2,2,828000,65,54,64,63,56,68,65,47,49,64,53,61,67,66,61,64,66,65,65,62,66,65,62,77,69,58,57,56,62,62,58,64,49,64,57,7,12,10,9,16,0,625000
P. O'Connor,CB,63,69,3000,23,2022,Republic of Ireland,Right,3,2,1400000,51,21,39,46,62,77,22,17,59,51,21,40,27,22,47,48,55,48,50,58,63,34,71,70,82,16,76,60,30,35,24,49,65,62,61,16,9,15,15,10,0,700000
E. Onariase,CB,63,68,3000,24,2022,England,Right,3,2,1200000,55,31,43,50,62,75,33,25,63,53,31,47,34,33,44,54,57,54,44,57,50,43,75,68,83,31,63,60,30,40,40,53,62,63,61,8,9,15,15,10,0,650000
P. Kotal,"RB, CB",63,63,800,27,2022,India,Right,3,2,641000,72,39,48,53,60,76,51,37,59,52,36,49,43,40,47,50,70,74,69,55,72,45,67,90,70,37,74,63,48,43,43,55,58,60,59,10,7,11,12,8,0,475000
O. Fisher,"RB, LB",63,63,2000,29,2021,Jamaica,Right,3,3,638000,73,36,56,66,60,56,55,29,50,62,40,64,57,37,58,64,75,72,79,61,75,47,52,53,52,32,72,61,58,50,44,59,62,61,60,14,12,13,8,8,0,425000
J. Gundersen,CB,63,69,1000,25,2023,Norway,Right,3,2,979000,55,35,47,48,63,66,35,36,64,60,35,42,28,26,56,47,55,55,59,55,72,39,89,55,74,32,56,62,28,38,37,58,63,63,60,15,9,15,10,8,0,675000
R. Amin,"CM, CDM",63,65,1000,25,2021,Netherlands,Right,3,3,795000,60,54,64,66,55,65,61,45,45,67,47,64,65,52,69,67,63,58,69,58,74,66,66,62,62,63,75,59,45,61,58,62,53,59,55,6,16,13,6,6,0,600000
